1,6013212,valor razonable ,D,2813212,valor razonable ,D,6113212,valor razonable ,H,203212,valor razonable ,D,2813212,valor razonable ,H,7013212,valor razonable ,H,6913212,valor razonable ,D,203212,valor razonable ,H
1,601322,Mercaderías de relacionadas,D,281322,Mercaderías de relacionadas,D,611322,Mercaderías de relacionadas,H,20322,Mercaderías de relacionadas,D,281322,Mercaderías de relacionadas,H,701322,Mercaderías de relacionadas,H,691322,Mercaderías de relacionadas,D,20322,Mercaderías de relacionadas,H
1,6013221,Costo,D,2813221,Costo,D,6113221,Costo,H,203221,Costo,D,2813221,Costo,H,7013221,Costo,H,6913221,Costo,D,203221,Costo,H
1,6013222,valor razonable ,D,2813222,valor razonable ,D,6113222,valor razonable ,H,203222,valor razonable ,D,2813222,valor razonable ,H,7013222,valor razonable ,H,6913222,valor razonable ,D,203222,valor razonable ,H
1,6014,Mercaderías inmuebles ,D,2814,Mercaderías inmuebles ,D,6114,Mercaderías inmuebles ,H,204,Mercaderías inmuebles ,D,2814,Mercaderías inmuebles ,H,7014,Mercaderías inmuebles ,H,6914,Mercaderías inmuebles,D,204,Mercaderías inmuebles ,H
1,60141,Mercaderías de terceros,D,28141,Mercaderías de terceros,D,61141,Mercaderías de terceros,H,2041,Mercaderías de terceros,D,28141,Mercaderías de terceros,H,70141,Mercaderías de terceros,H,69141,Mercaderías de terceros,D,2041,Mercaderías de terceros,H
1,601411,Costo,D,281411,Costo,D,611411,Costo,H,20411,Costo,D,281411,Costo,H,701411,Costo,H,691411,Costo,D,20411,Costo,H
1,601412,valor razonable ,D,281412,valor razonable ,D,611412,valor razonable ,H,20412,valor razonable ,D,281412,valor razonable ,H,701412,valor razonable ,H,691412,valor razonable ,D,20412,valor razonable ,H
1,60142,Mercaderías de relacionadas,D,28142,Mercaderías de relacionadas,D,61142,Mercaderías de relacionadas,H,2042,Mercaderías de relacionadas,D,28142,Mercaderías de relacionadas,H,70142,Mercaderías de relacionadas,H,69142,Mercaderías de relacionadas,D,2042,Mercaderías de relacionadas,H
1,601421,Costo,D,281421,Costo,D,611421,Costo,H,20421,Costo,D,281421,Costo,H,701421,Costo,H,691421,Costo,D,20421,Costo,H
1,601422,valor razonable ,D,281422,valor razonable ,D,611422,valor razonable ,H,20422,valor razonable ,D,281422,valor razonable ,H,701422,valor razonable ,H,691422,valor razonable ,D,20422,valor razonable ,H
1,6018,Otras mercaderías,D,2818,Otras mercaderías ,D,6115,Otras mercaderías,H,208,Otras mercaderías ,D,2818,Otras mercaderías ,H,7015,Otras mercaderías,H,6915,Otras mercaderías,D,208,Otras mercaderías ,H
1,60181,Mercaderías de terceros,D,28181,Mercaderías de terceros,D,61151,Mercaderías de terceros,H,2081,Mercaderías de terceros,D,28181,Mercaderías de terceros,H,70151,Mercaderías de terceros,H,69151,Mercaderías de terceros,D,2081,Mercaderías de terceros,H
1,601811,Costo,D,281811,Costo,D,611511,Costo,H,20811,Costo,D,281811,Costo,H,701511,Costo,H,691511,Costo,D,20811,Costo,H
1,601812,valor razonable ,D,281812,valor razonable ,D,611512,valor razonable ,H,20812,valor razonable ,D,281812,valor razonable ,H,701512,valor razonable ,H,691512,valor razonable ,D,20812,valor razonable ,H
1,60182,Mercaderías de relacionadas,D,28182,Mercaderías de relacionadas,D,61152,Mercaderías de relacionadas,H,2082,Mercaderías de relacionadas,D,28182,Mercaderías de relacionadas,H,70152,Mercaderías de relacionadas,H,69152,Mercaderías de relacionadas,D,2082,Mercaderías de relacionadas,H
1,601821,Costo,D,281821,Costo,D,611521,Costo,H,20821,Costo,D,281821,Costo,H,701521,Costo,H,691521,Costo,D,20821,Costo,H
1,601822,valor razonable ,D,281822,valor razonable ,D,611522,valor razonable ,H,20822,valor razonable ,D,281822,valor razonable ,H,701522,valor razonable ,H,691522,valor razonable ,D,20822,valor razonable ,H
